Type,Synergy_ID,Name,Description,DurationType,Attribute,ChangeType,TwoImpact,ThreeImpact
뱀파이어,0,뱀파이어,,Special,,,,
마수,1,마수,,Passive,Health,,,
몽마,2,몽마,,Passive,ConfusionChance,Modification,10,25
유령,3,유령,,Passive,StunChance,Modification,,
인간,4,인간,,Passive,Health,,,
검사,5,검사,,Passive,Defence,Multiplication,20,40
궁사,6,궁사,,Passive,Speed,Multiplication,20,50
마법사,7,마법사,,Passive,Penetration,Modification,30,50
농부,8,농부,,Passive,Health,,,
용병,9,용병,,Passive,Health,,,
기사,10,기사,,Passive,Health,,,
성기사,11,성기사,,Passive,Health,,,
사제,12,사제,,Passive,Health,,,
신속,13,신속,,Special,,,,
의심암귀,14,의심암귀,,Passive,ConfusionChance,Modification,10,25
나태,15,나태,,Special,,,,
질투,16,질투,,Special,,,,
정의,17,정의,,Special,Health,Multiplication,20,20
사냥꾼,18,사냥꾼,,Passive,Speed,Multiplication,20,40
꿈꾸지 않는 자,19,꿈꾸지 않는 자,,Special,,,,
불굴,20,불굴,,Special,Health,,,
귀족,21,귀족,,Passive,Defence,Modification,15,40
신자,22,신자,,Passive,Resist,Modification,20,50
